"No.","Time","Source","Destination","Protocol","Length","Info"
"2491","19.583862","2404:6800:4009:82e::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"2528","19.881956","2404:6800:4009:811::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1032","[TCP Spurious Retransmission] 443  >  13274 [PSH, ACK] Seq=7858 Ack=1799 Win=267776 Len=958"
"2592","20.915886","64:ff9b::22e9:1ec4","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1114","[TCP Previous segment not captured] , Ignored Unknown Record"
"2625","21.162024","2404:6800:4007:814::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","322","[TCP Previous segment not captured] , Ignored Unknown Record"
"2845","23.485719","2404:6800:4009:81f::200a","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"2849","23.486085","2404:6800:4009:81f::200a","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"2853","23.486210","2404:6800:4009:81f::200a","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"2891","23.745012","64:ff9b::73f0:c204","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","733","[TCP Previous segment not captured] , Ignored Unknown Record"
"2906","23.963181","64:ff9b::73f0:c204","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","131","[TCP Previous segment not captured] , Ignored Unknown Record"
"3125","26.555013","54.211.254.10","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  13257 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1340 SACK_PERM WS=256"
"3308","27.940158","64:ff9b::305:1967","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","132","[TCP Spurious Retransmission] 443  >  13283 [PSH, ACK] Seq=5468 Ack=1777 Win=57344 Len=58"
"3330","28.160034","64:ff9b::305:1967","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","254","[TCP Spurious Retransmission] 443  >  13283 [PSH, ACK] Seq=1 Ack=1777 Win=57344 Len=180"
"3348","28.192306","64:ff9b::305:1967","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1374","[TCP Spurious Retransmission] 443  >  13283 [ACK] Seq=181 Ack=1777 Win=57344 Len=1300"
